,sample_id,d_DIM_0001,pos_BASE_MOUNT_1_x,pos_BASE_MOUNT_1_y,pos_BASE_MOUNT_1_z,pos_BASE_MOUNT_2_x,pos_BASE_MOUNT_2_y,pos_BASE_MOUNT_2_z,pos_BASE_MOUNT_3_x,pos_BASE_MOUNT_3_y,pos_BASE_MOUNT_3_z,pos_BASE_MOUNT_4_x,pos_BASE_MOUNT_4_y,pos_BASE_MOUNT_4_z,d_DIM_0006,pos_STAGE_OPT_REF_x,pos_STAGE_OPT_REF_y,pos_STAGE_OPT_REF_z,pos_STAGE_ADJ_1_x,pos_STAGE_ADJ_1_y,pos_STAGE_ADJ_1_z,pos_STAGE_ADJ_2_x,pos_STAGE_ADJ_2_y,pos_STAGE_ADJ_2_z,pos_STAGE_ADJ_3_x,pos_STAGE_ADJ_3_y,pos_STAGE_ADJ_3_z,pos_STAGE_ADJ_4_x,pos_STAGE_ADJ_4_y,pos_STAGE_ADJ_4_z,d_DIM_0012,BASE_TO_OPTICAL_CENTER_distance,OPTICAL_ALIGNMENT_delta_x,OPTICAL_ALIGNMENT_delta_y,OPTICAL_ALIGNMENT_delta_z,OPTICAL_ALIGNMENT_delta_rx,OPTICAL_ALIGNMENT_delta_ry,OPTICAL_ALIGNMENT_delta_rz,STAGE_LENS_POSITION_delta_x,STAGE_LENS_POSITION_delta_y,STAGE_LENS_POSITION_delta_z,AXIS_CONCENTRICITY_concentricity_error,ADJ_SPACING_distance
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,499.5,50.00003912347441,-0.00015572085888597697,5.995894949884588e-05,3.457978266266387e-05,0.00025780083714812944,0.0002858831251015245,-2.5755012835667584e-05,1.85954918469112e-05,-0.00012711686784282043,-8.147051760488151e-05,-6.922226351040387e-05,1.658576388081736e-05,-7.093099146514872e-05,15.000060780331527,1.698436543170812e-05,-1.9314217033815743e-05,6.899824356322857e-06,0.00011709634996233085,-0.00019756467386789408,-2.761356500051882e-05,-2.342152885956037e-05,7.463692140468414e-05,-6.799593676739887e-05,0.000208442494071825,0.0002709650285702231,-8.20198695164419e-05,-0.00010480127438405598,3.985683747937185e-05,1.009446834610184e-05,5.999997323689323,66.9999783431429,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
std,288.8194360957494,0.0016822122603574266,0.004778712348493328,0.0046958103059217045,0.0022692499784319965,0.004944659825191655,0.004525199085553464,0.002176677196000446,0.004731338958615016,0.004484603080544409,0.00216090745001205,0.00479301677846898,0.004854976091627949,0.0021746765570759205,0.003310142529799954,0.0011963265994816429,0.0011707124343512548,0.0005485823599685242,0.00366469630312254,0.0035506309787433367,0.0016748763198218442,0.0034744694334690736,0.00339685855522318,0.001647212830895834,0.00356718082981296,0.0035778792488426556,0.0016934902656526125,0.003464241453261154,0.0035633475659793026,0.0016780246977433492,0.0003341582605766654,0.0037171871259836045,0.0,0.0,5.451250289153132e-15,0.0,0.0,0.0,0.0,0.0,5.451250289153132e-15,0.0,0.0
min,0.0,49.99459139208113,-0.021738624947587794,-0.016683950689689146,-0.008814496653700932,-0.016288488693168533,-0.020039309474071093,-0.006418093221619093,-0.018987498216338362,-0.015877000113766332,-0.006510409801922654,-0.01926785662889957,-0.016818127754007733,-0.006813338960410191,14.990514748775158,-0.005130380379232483,-0.0048616501087895515,-0.0019798399118196174,-0.01788754014077683,-0.012283442656900009,-0.004840503386418374,-0.01068182450362356,-0.012782316193990277,-0.005786315370458036,-0.015492638400242053,-0.015401512147114998,-0.005077817721062335,-0.013177658549664408,-0.012966531082493678,-0.004633230653689782,5.99902107687936,66.99013293708347,0.0,0.0,17.999999999999986,0.0,0.0,0.0,0.0,0.0,17.999999999999986,0.0,70.71067811865476
25%,249.75,49.99890319146768,-0.0024668930366970607,-0.002156364984706785,-0.0015159213616374708,-0.002354377798401946,-0.001800785431769556,-0.0014439206177361704,-0.0022749242518346944,-0.0024875101706043476,-0.0015060128982532946,-0.0025261059554754755,-0.0026597708179903,-0.0014395254922147092,14.99771939246828,-0.0005697354247119969,-0.0006229455603162103,-0.00034915581190117436,-0.0016680890317118324,-0.001920485119176862,-0.0011499050639901744,-0.0018919607334650116,-0.0017596412821950548,-0.0011232890573043548,-0.0014388993248404668,-0.0014657034913859186,-0.0012564765762513213,-0.0019282225515426191,-0.0018689903781384106,-0.001150092377518955,5.99977698051496,66.99737639337778,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
50%,499.5,50.00004332009559,-0.00010276214769461384,1.1888325448158129e-05,-6.84581884440061e-06,8.159412426356479e-05,0.00017268918623378475,-6.2973038381578e-05,-4.558498641388702e-05,-0.00010470060569053487,-0.0001645377619781728,-8.835858851311114e-05,-3.0149425936264505e-05,-0.00011525704020923336,15.000172228625441,-9.619384776005492e-06,-1.1074214468071275e-05,3.076777283491094e-05,4.958901364795982e-05,-7.159546657035098e-06,1.5898803719964902e-05,-2.799202617419271e-05,3.3700351570224035e-06,-6.083913487771771e-05,0.0001521649212282682,0.0001055982407489898,-0.00014548479207158115,-4.2982867318164394e-05,9.238343663926183e-06,-3.288085790746491e-05,5.999999306576625,66.99995096394446,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
75%,749.25,50.00111366564008,0.0020021182726677115,0.0024901495498846696,0.0015678201234316908,0.0026031705065129272,0.002703995330026845,0.0014335463720760435,0.002225448080269712,0.0021225565484470914,0.001329102388206716,0.0023755222548494316,0.002376856590333629,0.001418035896131238,15.002344450532785,0.0006055829184143241,0.0005949842925616556,0.0003542270688338832,0.0019525516117409008,0.0015078740717394171,0.0010621622971754788,0.0017175322280015897,0.0018482408462795526,0.0010460405523341888,0.002035532012533213,0.002243169225913508,0.0011272010072153615,0.0017866158028345346,0.0018637155887443542,0.001102022381351289,6.000225969756352,67.00242832407977,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
max,999.0,50.005573939795575,0.022508881755940326,0.01563106851986879,0.0069058241925464775,0.018878504230500314,0.017680875831944984,0.006664992445249228,0.01718010624470581,0.017774502489848767,0.006648185697023535,0.01725335798047092,0.01953922256463255,0.007275420620630325,15.00956157915919,0.004313227842673736,0.004269731004800416,0.0018135448289160587,0.013752803384090939,0.013058936487282123,0.0050352679329245635,0.014290591976795839,0.012607389444727038,0.006203699179209276,0.012276775114064529,0.012456071381813195,0.005256881448345922,0.01122575138339149,0.013814263620440071,0.0060383341113479806,6.00098712803815,67.01079322084756,0.0,0.0,18.000000000000014,0.0,0.0,0.0,0.0,0.0,18.000000000000014,0.0,70.71067811865476
