sample_id,d_DIM_0002,BEAM_TO_SURFACE_distance,BEAM_SURFACE_ALIGNMENT_delta_x,BEAM_SURFACE_ALIGNMENT_delta_y,BEAM_SURFACE_ALIGNMENT_delta_z,BEAM_SURFACE_ALIGNMENT_delta_rx,BEAM_SURFACE_ALIGNMENT_delta_ry,BEAM_SURFACE_ALIGNMENT_delta_rz,CENTER_TO_NORTH_EDGE_distance,CENTER_TO_EAST_EDGE_distance,NORTH_TO_SOUTH_TILT_delta_x,NORTH_TO_SOUTH_TILT_delta_y,NORTH_TO_SOUTH_TILT_delta_z,EAST_TO_WEST_TILT_delta_x,EAST_TO_WEST_TILT_delta_y,EAST_TO_WEST_TILT_delta_z
35,6.350375356852719,6.350375356852719,0.0,0.0,6.350375356852719,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
36,6.349719380150754,6.349719380150754,0.0,0.0,6.349719380150754,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
37,6.351548579767849,6.351548579767849,0.0,0.0,6.351548579767849,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
38,6.3499417282145325,6.3499417282145325,0.0,0.0,6.3499417282145325,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
39,6.350604984131557,6.350604984131557,0.0,0.0,6.350604984131557,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
40,6.350339322550517,6.350339322550517,0.0,0.0,6.350339322550517,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
41,6.3497083336419955,6.3497083336419955,0.0,0.0,6.3497083336419955,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
42,6.349668192193845,6.349668192193845,0.0,0.0,6.349668192193845,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
43,6.349038448184952,6.349038448184952,0.0,0.0,6.349038448184952,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
44,6.350120586475942,6.350120586475942,0.0,0.0,6.350120586475942,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
45,6.349779931627596,6.349779931627596,0.0,0.0,6.349779931627596,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
46,6.350907189153892,6.350907189153892,0.0,0.0,6.350907189153892,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
47,6.351264818026706,6.351264818026706,0.0,0.0,6.351264818026706,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
48,6.349044309054661,6.349044309054661,0.0,0.0,6.349044309054661,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
49,6.350104044454298,6.350104044454298,0.0,0.0,6.350104044454298,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
50,6.349407190893976,6.349407190893976,0.0,0.0,6.349407190893976,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
51,6.351031976209548,6.351031976209548,0.0,0.0,6.351031976209548,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
52,6.3494598598351475,6.3494598598351475,0.0,0.0,6.3494598598351475,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
53,6.349072561344182,6.349072561344182,0.0,0.0,6.349072561344182,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
54,6.349982200155722,6.349982200155722,0.0,0.0,6.349982200155722,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
55,6.349426587096335,6.349426587096335,0.0,0.0,6.349426587096335,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
56,6.349350326911528,6.349350326911528,0.0,0.0,6.349350326911528,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
57,6.350241406468967,6.350241406468967,0.0,0.0,6.350241406468967,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
58,6.3504325037079115,6.3504325037079115,0.0,0.0,6.3504325037079115,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
59,6.350628900568316,6.350628900568316,0.0,0.0,6.350628900568316,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
60,6.349513784680633,6.349513784680633,0.0,0.0,6.349513784680633,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
61,6.349998946940939,6.349998946940939,0.0,0.0,6.349998946940939,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
62,6.35006389681001,6.35006389681001,0.0,0.0,6.35006389681001,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
63,6.350606188606532,6.350606188606532,0.0,0.0,6.350606188606532,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
64,6.35054059488388,6.35054059488388,0.0,0.0,6.35054059488388,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
65,6.350620242824878,6.350620242824878,0.0,0.0,6.350620242824878,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
66,6.349984063094787,6.349984063094787,0.0,0.0,6.349984063094787,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
67,6.350022603025453,6.350022603025453,0.0,0.0,6.350022603025453,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
68,6.351135195581512,6.351135195581512,0.0,0.0,6.351135195581512,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
69,6.350693660063115,6.350693660063115,0.0,0.0,6.350693660063115,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
