sample_id,d_DIM_0001,pos_BASE_MOUNT_1_x,pos_BASE_MOUNT_1_y,pos_BASE_MOUNT_1_z,pos_BASE_MOUNT_2_x,pos_BASE_MOUNT_2_y,pos_BASE_MOUNT_2_z,pos_BASE_MOUNT_3_x,pos_BASE_MOUNT_3_y,pos_BASE_MOUNT_3_z,pos_BASE_MOUNT_4_x,pos_BASE_MOUNT_4_y,pos_BASE_MOUNT_4_z,d_DIM_0006,pos_STAGE_OPT_REF_x,pos_STAGE_OPT_REF_y,pos_STAGE_OPT_REF_z,pos_STAGE_ADJ_1_x,pos_STAGE_ADJ_1_y,pos_STAGE_ADJ_1_z,pos_STAGE_ADJ_2_x,pos_STAGE_ADJ_2_y,pos_STAGE_ADJ_2_z,pos_STAGE_ADJ_3_x,pos_STAGE_ADJ_3_y,pos_STAGE_ADJ_3_z,pos_STAGE_ADJ_4_x,pos_STAGE_ADJ_4_y,pos_STAGE_ADJ_4_z,d_DIM_0012,BASE_TO_OPTICAL_CENTER_distance,OPTICAL_ALIGNMENT_delta_x,OPTICAL_ALIGNMENT_delta_y,OPTICAL_ALIGNMENT_delta_z,OPTICAL_ALIGNMENT_delta_rx,OPTICAL_ALIGNMENT_delta_ry,OPTICAL_ALIGNMENT_delta_rz,STAGE_LENS_POSITION_delta_x,STAGE_LENS_POSITION_delta_y,STAGE_LENS_POSITION_delta_z,AXIS_CONCENTRICITY_concentricity_error,ADJ_SPACING_distance
0,50.00244041161914,0.00035071209374927504,0.0006146386775558108,0.000354345107139229,-0.011808580847738503,0.011719646539356048,-0.0022227023717995074,0.007806728874652344,-0.001486518515459804,-0.0019119194629293285,-0.0034224957872474268,-0.0056116405935011555,0.0004920492885324842,14.99925894586517,-0.00041083794087274126,0.0012218278495780448,-0.00074334790966794,0.00021445636155359798,0.0007910868405906251,0.0006265450937604327,-0.0001287451225011994,0.0018049003456561893,0.0007023958847992401,-0.007848706519491171,0.003770556748369895,-0.0013145262977569496,0.0036980014890957533,-0.005384341336353913,0.004287659001842716,5.999586790900115,67.00318146575398,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
1,49.99851416866443,0.007612200170617473,0.0005832351065261405,0.0004189413441742635,0.012423098554611165,0.0055591652085614065,-0.0013999556618312589,6.851480687548396e-05,-0.0028047481674113987,-0.002404681128254441,0.000267623143140305,-0.0001613098120827693,0.0016475532129157497,14.999503128488241,-0.00019188125084038484,-0.0002731323609184024,0.00013517179397100026,0.0007631376268244452,0.0020103606631542963,0.0022882845183593995,0.00343928080631086,0.010663826705809074,-0.0010845382699519483,0.0023528381111025207,9.232175652532932e-05,-0.0013050576360168645,-0.0007444203251929096,-0.00043604318737814365,0.00016476843600467174,5.999443859068443,66.99901104017619,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
2,49.999009804976524,-0.0013518214678693325,0.0034991248656292807,0.00027234598535252127,0.0048682724310455195,-0.0034982900553518674,0.0011127864258041373,0.0009509932803132406,-0.0024912794511850727,0.0019315281984021112,0.0011988040978922851,0.0014425046027085363,0.0008904608205457799,15.003113370222232,6.647381030770829e-05,0.0003793594635326169,0.0005062554658515617,0.00201510308578084,-0.0031571807027206762,-0.0007557060248858141,0.003972243898537078,-0.005455402445931109,-0.0008071017757705082,-0.007888292550879786,-0.0005949916812738249,-0.0016985098950109375,-0.0010379935416206319,-0.00017149918912538685,-0.00031140901626070525,6.000337066948055,66.99589643475431,0.0,0.0,17.999999999999986,0.0,0.0,0.0,0.0,0.0,17.999999999999986,0.0,70.71067811865476
3,50.00188474348317,0.00818161662341494,0.00019707814506642163,-0.0018973666175929487,0.010487428954018227,-0.00663935453370976,-0.0007766274757694054,-0.0032598572585581793,-0.00204822575109783,-0.0015066131575420334,0.0030907480682394917,0.0017235846853601955,-0.0019913108345777654,14.997842178364587,0.002029982563255772,0.0018684037469629785,-0.0007299307804639367,-0.0021455073537961326,0.0012716548760007044,-0.0025765300337879326,-0.0015755820968898933,-0.00352530079102807,-0.00022054757039954924,-0.0004677999463243934,-0.0008677243365290797,-0.0019007698143053747,0.008078085183113285,-0.0010209115712450007,0.0006462406146817346,6.000629455482433,67.0040425651186,0.0,0.0,17.999999999999986,0.0,0.0,0.0,0.0,0.0,17.999999999999986,0.0,70.71067811865476
4,50.00039939922482,-0.003941503417423268,-0.006657322567558109,9.447297631662587e-05,-0.005256682071976464,0.0034379170181653707,-0.00032368654542931435,0.0005017333912139399,0.0025263256302974157,-0.000817061299005229,-0.0005114580843669834,0.0007366650246546107,-0.0010282879633302848,14.998632090372823,0.0018361549278625973,-0.0005830223372231376,-0.00029832310042754906,-0.0003891007114478945,0.003465799685153276,0.0011495495742274119,0.0014830002327500327,0.006103853684147253,0.0003699218560027247,0.0006055396109398012,0.0003032907562117062,-0.0012149410081161898,-0.006233332879809247,-0.0015553241381503601,0.0003243130921364759,6.000136547892995,67.001767308852,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
5,49.99935331514624,-0.004760822301459237,-0.003295148377118595,-0.0010406385221537018,9.474417522116816e-06,5.1974110012404305e-05,0.0027174622423212914,0.004530346689341606,-0.005854982785561275,-0.0016472404295640752,-0.005925504327116537,-0.0027200992984107593,-0.00014224486125229125,15.00465890974099,0.00032179300542947654,-0.0006325691951540823,-0.0004067073769966671,-0.005081370376722317,-0.00796875286764758,0.0012540558018306169,-0.00013304162355616826,3.885937932100917e-06,0.001018206825125868,0.00752306828206319,0.0013806867852568503,0.0017322824121163661,0.006334645212951657,0.0008665712310061601,0.002394846684674974,5.999942755345449,66.99469440540526,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
6,49.99942462678046,-4.131117862847593e-05,-0.014134266903393667,-0.004863274973205767,0.002355087882379374,0.0021958564518907895,0.004312546612515321,7.695823424947856e-05,-0.008665306788475062,-0.00312533514534076,-2.7905160454108856e-05,-0.0001441144650168613,0.0011913627486889729,14.993691681651194,1.4463120211281e-05,-0.0008859631779914659,-0.00022485430059692886,0.0018075946572760843,0.0013188007457522286,0.0014894455380279668,-0.0014148269363415489,-0.0016449591126711258,0.0007787173600534033,0.0002676789830068058,-2.1971409507340286e-05,0.0004254587590270049,0.0024700927880055967,0.004316188267554115,-0.0011465727002688021,6.000133863619424,67.00573294512927,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
7,50.00175296564284,-0.0015540274432235919,0.00020927886969752577,-0.0007548202844561566,0.0021320249558818634,-7.752302145841959e-05,-0.004876870710162627,0.0005274158647745976,0.0011034591484158508,0.002125955834061133,0.0007229018623858927,-0.0009719239419577541,0.0007155755851400036,15.001158937117918,-0.0020653925012041516,0.0028480844771306872,-0.0007904377203523676,0.01335802450430584,-0.00941383286898081,0.0033184784155071427,-0.0025704521600657033,0.0008559047773437737,0.0012658232803304812,0.002947183809851385,-0.006802037518783966,-0.003591634048031908,0.00020089780387192097,-0.0006547984429051685,0.001891428014474596,5.999804979698957,67.0005940285249,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
8,50.00152915426949,9.373751588788134e-05,0.0006876716792111654,0.00018502619313986356,-0.0005812466115386607,-0.003135845811732763,-1.8584856044601462e-06,-0.0051370708685607915,-0.0017878488242905597,-0.0007239312590455377,0.0002725044498128108,-0.002235244432057038,0.002517777304236435,15.004950884950446,-0.000505152492846817,0.0002968207907944404,-0.0004445607345739219,0.008384311623970608,0.0013921819984084442,0.0015510871542273618,-0.003589431215334107,-0.005080196767258999,0.001506884352993606,0.0015664882404531773,-0.0027314369465872026,-0.0005646004736722707,-0.00527660270910688,0.0033388129322709653,-0.0009984754163679225,5.999750325707826,66.99657826931904,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
9,50.000440741792104,-0.0006855175368517486,0.003825722322218412,0.0010427261973011545,-0.0026626601855820574,0.0021480840330178673,-0.001957273501710605,0.00023951516749586647,-3.9338562466672e-05,0.0027656081243419626,-0.0022159774393773917,0.0034264756090782843,0.0007454822407140964,15.006390338834372,8.981490149318567e-05,-0.00031654045978312854,-0.00038274194553438465,-0.006614111951792028,0.0058768345139870596,-0.0008729591526165259,0.0044063974763503475,-0.002004513268122302,-0.00010720701156560857,0.004357014902426421,0.005563660333030876,-0.0013096742407886248,0.0011646513702591355,0.0020268251434864505,-0.002408675365442612,5.999593400658962,66.99405040295773,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,70.71067811865476
